,userId,movieId,rating,timestamp,title,year,genres,name,lastname,age
500,56,65514,3.5,1281742614,Ip Man,2008,Action|Drama|War,Isaiah,Smith,58
501,56,1387,3.0,1274768217,Jaws,1975,Action|Horror,Isaiah,Smith,58
502,56,1982,1.0,1274768982,Halloween,1978,Horror,Isaiah,Smith,58
503,56,1997,4.0,1274768756,Exorcist,1973,Horror|Mystery,Isaiah,Smith,58
504,56,4105,1.0,1300694927,Evil Dead,1981,Fantasy|Horror|Thriller,Isaiah,Smith,58
505,56,4848,4.0,1361427740,Mulholland Drive,2001,Crime|Drama|Film-Noir|Mystery|Thriller,Isaiah,Smith,58
506,56,4865,3.5,1274781369,From Hell,2001,Crime|Horror|Mystery|Thriller,Isaiah,Smith,58
507,56,8910,2.5,1383100125,I Heart Huckabees,2004,Comedy,Isaiah,Smith,58
508,56,30810,4.0,1290795560,Life Aquatic with Steve Zissou,2004,Adventure|Comedy|Fantasy,Isaiah,Smith,58
509,56,79702,4.0,1326896417,Scott Pilgrim vs. the World,2010,Action|Comedy|Fantasy|Musical|Romance,Isaiah,Smith,58
510,56,88129,3.0,1387507888,Drive,2011,Crime|Drama|Film-Noir|Thriller,Isaiah,Smith,58
511,56,1276,3.0,1298464239,Cool Hand Luke,1967,Drama,Isaiah,Smith,58
512,56,2321,2.5,1281741735,Pleasantville,1998,Comedy|Drama|Fantasy,Isaiah,Smith,58
513,56,3386,4.0,1381370930,JFK,1991,Drama|Mystery|Thriller,Isaiah,Smith,58
514,56,1028,2.0,1274780000,Mary Poppins,1964,Children|Comedy|Fantasy|Musical,Isaiah,Smith,58
515,56,2137,3.0,1274769169,Charlotte's Web,1973,Animation|Children,Isaiah,Smith,58
516,56,2692,2.5,1301556438,Run Lola Run (Lola rennt),1998,Action|Crime,Isaiah,Smith,58
517,56,2699,1.5,1274779895,Arachnophobia,1990,Comedy|Horror,Isaiah,Smith,58
518,56,3535,3.5,1274780662,American Psycho,2000,Crime|Horror|Mystery|Thriller,Isaiah,Smith,58
519,56,4128,2.0,1281742474,Lost Boys,1987,Comedy|Horror|Thriller,Isaiah,Smith,58
520,56,5055,4.0,1274769845,Dragon: The Bruce Lee Story,1993,Action|Drama,Isaiah,Smith,58
